TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 2334][ft: f4m] [curTime: 2393.866][curIndex: 4][Buffer: 32.062][BW: 4497.00][Avg BW: 4722.03][Peak BW: 9585.00] Log Status Timer | DATE:: 2011-11-29 01:40:02.686497 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 2392][ft: f4m] [curTime: 2453.973][curIndex: 4][Buffer: 30.996][BW: 2012.00][Avg BW: 3085.81][Peak BW: 9585.00] Log Status Timer | DATE:: 2011-11-29 01:41:02.744624 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 2450][ft: f4m] [curTime: 2513.962][curIndex: 4][Buffer: 32.03][BW: 4248.00][Avg BW: 3903.42][Peak BW: 9585.00] Log Status Timer | DATE:: 2011-11-29 01:42:02.756948 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 2509][ft: f4m] [curTime: 2573.966][curIndex: 4][Buffer: 31.953][BW: 7467.00][Avg BW: 4780.35][Peak BW: 9585.00] Log Status Timer | DATE:: 2011-11-29 01:43:02.806580 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 2567][ft: f4m] [curTime: 2633.966][curIndex: 4][Buffer: 31.962][BW: 6711.00][Avg BW: 6533.39][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 01:44:02.835776 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 2625][ft: f4m] [curTime: 2694][curIndex: 4][Buffer: 31.919][BW: 3976.00][Avg BW: 3712.84][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 01:45:02.807220 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 2684][ft: f4m] [curTime: 2754][curIndex: 4][Buffer: 29.348][BW: 3482.00][Avg BW: 2868.35][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 01:46:02.827930 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 2742][ft: f4m] [curTime: 2814.208][curIndex: 4][Buffer: 31.886][BW: 5178.00][Avg BW: 4437.65][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 01:47:02.834853 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 2800][ft: f4m] [curTime: 2874.1][curIndex: 4][Buffer: 31.83][BW: 6143.00][Avg BW: 5573.45][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 01:48:02.921595 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 2859][ft: f4m] [curTime: 2934.1][curIndex: 4][Buffer: 31.265][BW: 8242.00][Avg BW: 3469.81][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 01:49:02.937741 | PORT:: 17095
TICKET:: 8UmFgXtNfQ | MESSAGE:: [FP: WIN 10,3,181,14][ver: 0.2.36][Pt: 2917][ft: f4m] [curTime: 2994.133][curIndex: 4][Buffer: 29.492][BW: 2840.00][Avg BW: 3586.77][Peak BW: 9692.00] Log Status Timer | DATE:: 2011-11-29 01:50:02.968610 | PORT:: 17095
