TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 943][ft: SMIL] [curTime: 3954.833][curIndex: 0][Buffer: 1134.171][BW: 0.00][Avg BW: 15.53][Peak BW: 584.40] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 622 > 24 | DATE:: 2011-12-06 21:36:02.559441 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 943][ft: SMIL] [curTime: 3954.833][curIndex: 0][Buffer: 1134.171][BW: 0.00][Avg BW: 18.22][Peak BW: 584.40] [videoView][INFO]Detected FPS <1 FPS zero count 2 current 0.5704940478454341 | DATE:: 2011-12-06 21:36:02.565917 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 942][ft: SMIL] [curTime: 3954.833][curIndex: 0][Buffer: 1134.171][BW: 0.00][Avg BW: 18.22][Peak BW: 584.40] Log Status Timer | DATE:: 2011-12-06 21:36:02.570879 | PORT:: 17093
TICKET:: qBgP3tMWbf | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 1011][ft: SMIL] [curTime: 3952.125][curIndex: 0][Buffer: 1121.965][BW: 0.00][Avg BW: 25.86][Peak BW: 570.23] [videoView][INFO]Detected FPS <1 FPS zero count 6 current 0.265467931473878 | DATE:: 2011-12-06 21:36:02.598048 | PORT:: 17093
TICKET:: qBgP3tMWbf | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 1011][ft: SMIL] [curTime: 3952.125][curIndex: 0][Buffer: 1121.965][BW: 0.00][Avg BW: 22.59][Peak BW: 570.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 402 > 24 | DATE:: 2011-12-06 21:36:02.620461 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 943][ft: SMIL] [curTime: 3955.917][curIndex: 0][Buffer: 1134.171][BW: 0.00][Avg BW: 15.53][Peak BW: 584.40] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 742 > 24 | DATE:: 2011-12-06 21:36:03.549633 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 944][ft: SMIL] [curTime: 3955.917][curIndex: 0][Buffer: 1134.171][BW: 0.00][Avg BW: 15.53][Peak BW: 584.40] [videoView][INFO]Detected FPS <1 FPS zero count 3 current 0.6016168452716676 | DATE:: 2011-12-06 21:36:03.573584 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 945][ft: SMIL] [curTime: 3957.667][curIndex: 0][Buffer: 1134.171][BW: 0.00][Avg BW: 15.53][Peak BW: 584.40] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 818 > 24 | DATE:: 2011-12-06 21:36:05.629506 | PORT:: 17093
TICKET:: ntG4MjQCFN | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 162][ft: SMIL] [curTime: 3944.583][curIndex: 0][Buffer: 17.25][BW: 99.27][Avg BW: 37.38][Peak BW: 235.59] Log Status Timer | DATE:: 2011-12-06 21:36:05.864424 | PORT:: 17093
TICKET:: ntG4MjQCFN | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 163][ft: SMIL] [curTime: 3944.583][curIndex: 0][Buffer: 17.25][BW: 99.27][Avg BW: 37.38][Peak BW: 235.59] [videoView][INFO]Detected FPS <1 FPS zero count 8 current 0.10958583858736548 | DATE:: 2011-12-06 21:36:05.865196 | PORT:: 17093
TICKET:: ntG4MjQCFN | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 163][ft: SMIL] [curTime: 3944.583][curIndex: 0][Buffer: 17.25][BW: 0.00][Avg BW: 37.38][Peak BW: 235.59] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 1605 > 24 | DATE:: 2011-12-06 21:36:05.866113 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 945][ft: SMIL] [curTime: 3958.542][curIndex: 0][Buffer: 1134.171][BW: 0.00][Avg BW: 15.53][Peak BW: 584.40] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 848 > 24 | DATE:: 2011-12-06 21:36:06.219722 | PORT:: 17093
TICKET:: ntG4MjQCFN | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 163][ft: SMIL] [curTime: 3945.208][curIndex: 0][Buffer: 16.625][BW: 0.00][Avg BW: 37.38][Peak BW: 235.59] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 1624 > 24 | DATE:: 2011-12-06 21:36:06.480898 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 946][ft: SMIL] [curTime: 3959.042][curIndex: 0][Buffer: 1134.171][BW: 0.00][Avg BW: 15.53][Peak BW: 584.40] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 819 > 24 | DATE:: 2011-12-06 21:36:06.711645 | PORT:: 17093
TICKET:: a2FDrntxxQ | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 1074][ft: SMIL] [curTime: 3959.083][curIndex: 0][Buffer: 1106.199][BW: 137.90][Avg BW: 26.46][Peak BW: 598.89] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 599 > 24 | DATE:: 2011-12-06 21:36:06.813577 | PORT:: 17093
TICKET:: a2FDrntxxQ | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 1074][ft: SMIL] [curTime: 3959.083][curIndex: 0][Buffer: 1106.199][BW: 0.00][Avg BW: 25.54][Peak BW: 598.89] [videoView][INFO]Detected FPS <1 FPS zero count 0 current 0.4273626029231602 | DATE:: 2011-12-06 21:36:06.831013 | PORT:: 17093
TICKET:: ntG4MjQCFN | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 164][ft: SMIL] [curTime: 3946.069][curIndex: 0][Buffer: 16.208][BW: 0.00][Avg BW: 37.38][Peak BW: 235.59] [videoView][INFO]Detected FPS <1 FPS zero count 9 current 0.1094826579469812 | DATE:: 2011-12-06 21:36:06.841987 | PORT:: 17093
TICKET:: ntG4MjQCFN | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 164][ft: SMIL] [curTime: 3946.069][curIndex: 0][Buffer: 16.083][BW: 0.00][Avg BW: 37.38][Peak BW: 235.59] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 1692 > 24 | DATE:: 2011-12-06 21:36:06.978991 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 946][ft: SMIL] [curTime: 3959.542][curIndex: 0][Buffer: 1134.171][BW: 0.00][Avg BW: 15.53][Peak BW: 584.40] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 759 > 24 | DATE:: 2011-12-06 21:36:07.219711 | PORT:: 17093
TICKET:: a2FDrntxxQ | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 1074][ft: SMIL] [curTime: 3959.625][curIndex: 0][Buffer: 1107.746][BW: 137.90][Avg BW: 26.46][Peak BW: 598.89] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 614 > 24 | DATE:: 2011-12-06 21:36:07.355023 | PORT:: 17093
TICKET:: ntG4MjQCFN | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 164][ft: SMIL] [curTime: 3946.626][curIndex: 0][Buffer: 15.542][BW: 0.00][Avg BW: 37.38][Peak BW: 235.59] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 1679 > 24 | DATE:: 2011-12-06 21:36:07.555754 | PORT:: 17093
TICKET:: 22wS8BLGQw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 947][ft: SMIL] [curTime: 3960.083][curIndex: 0][Buffer: 1134.171][BW: 0.00][Avg BW: 15.53][Peak BW: 584.40] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 724 > 24 | DATE:: 2011-12-06 21:36:07.712059 | PORT:: 17093
TICKET:: a2FDrntxxQ | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 1075][ft: SMIL] [curTime: 3960.125][curIndex: 0][Buffer: 1107.746][BW: 114.36][Avg BW: 27.71][Peak BW: 598.89] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 626 > 24 | DATE:: 2011-12-06 21:36:07.861398 | PORT:: 17093
TICKET:: bKR4VvJRYE | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.39][Pt: 1089][ft: SMIL] [curTime: 3963.159][curIndex: 2][Buffer: 11.657][BW: 402.19][Avg BW: 203.46][Peak BW: 527.52] Log Status Timer | DATE:: 2011-12-06 21:36:09.497446 | PORT:: 17093
TICKET:: iCNXKq96Qz | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 161][ft: SMIL] [curTime: 3890.208][curIndex: 0][Buffer: 71.701][BW: 0.00][Avg BW: 49.90][Peak BW: 184.90] [videoView][INFO]Detected FPS <1 FPS zero count 13 current 0.19948134849391583 | DATE:: 2011-12-06 21:36:09.944361 | PORT:: 17093
TICKET:: iCNXKq96Qz | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.39][Pt: 160][ft: SMIL] [curTime: 3890.208][curIndex: 0][Buffer: 71.701][BW: 0.00][Avg BW: 49.90][Peak BW: 184.90] Log Status Timer | DATE:: 2011-12-06 21:36:09.945214 | PORT:: 17093
