TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1176][ft: SMIL] [curTime: 3662.44][curIndex: 0 of 2][Buffer: 29.041 of 20][isBuffering: false][BW: 0.00][Avg BW: 23.95][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 47 > 24 | DATE:: 2011-12-07 00:31:13.360695 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1176][ft: SMIL] [curTime: 3663.06][curIndex: 0 of 2][Buffer: 28.5 of 20][isBuffering: false][BW: 0.00][Avg BW: 23.95][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 47 > 24 | DATE:: 2011-12-07 00:31:13.910722 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1177][ft: SMIL] [curTime: 3663.60][curIndex: 0 of 2][Buffer: 28 of 20][isBuffering: false][BW: 0.00][Avg BW: 22.24][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 46 > 24 | DATE:: 2011-12-07 00:31:14.421156 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1177][ft: SMIL] [curTime: 3664.20][curIndex: 0 of 2][Buffer: 27.458 of 20][isBuffering: false][BW: 0.00][Avg BW: 22.24][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 46 > 24 | DATE:: 2011-12-07 00:31:15.004556 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1178][ft: SMIL] [curTime: 3664.74][curIndex: 0 of 2][Buffer: 26.958 of 20][isBuffering: false][BW: 0.00][Avg BW: 18.29][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 32 > 24 | DATE:: 2011-12-07 00:31:15.484445 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1178][ft: SMIL] [curTime: 3664.78][curIndex: 0 of 2][Buffer: 26.416 of 20][isBuffering: false][BW: 0.00][Avg BW: 18.29][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 25 > 24 | DATE:: 2011-12-07 00:31:16.263378 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1179][ft: SMIL] [curTime: 3665.38][curIndex: 0 of 2][Buffer: 25.791 of 20][isBuffering: false][BW: 0.00][Avg BW: 18.29][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 22 > 20 | DATE:: 2011-12-07 00:31:16.646445 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1180][ft: SMIL] [curTime: 3666.87][curIndex: 0 of 2][Buffer: 24.541 of 20][isBuffering: false][BW: 0.00][Avg BW: 18.29][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 11 > 10 | DATE:: 2011-12-07 00:31:17.994673 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1180][ft: SMIL] [curTime: 3667.25][curIndex: 0 of 2][Buffer: 23.916 of 20][isBuffering: false][BW: 0.00][Avg BW: 18.29][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 12 > 10 | DATE:: 2011-12-07 00:31:18.523816 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1181][ft: SMIL] [curTime: 3668.26][curIndex: 0 of 2][Buffer: 23.291 of 20][isBuffering: false][BW: 0.00][Avg BW: 18.29][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-07 00:31:19.111923 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1181][ft: SMIL] [curTime: 3668.85][curIndex: 0 of 2][Buffer: 26.232 of 20][isBuffering: false][BW: 0.00][Avg BW: 18.29][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 14 > 10 | DATE:: 2011-12-07 00:31:19.664472 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1182][ft: SMIL] [curTime: 3669.26][curIndex: 0 of 2][Buffer: 29.939 of 20][isBuffering: false][BW: 98.88][Avg BW: 21.48][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 00:31:20.204825 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1182][ft: SMIL] [curTime: 3669.89][curIndex: 0 of 2][Buffer: 32.328 of 20][isBuffering: false][BW: 98.88][Avg BW: 21.48][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 00:31:20.793857 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1183][ft: SMIL] [curTime: 3670.49][curIndex: 0 of 2][Buffer: 37.429 of 20][isBuffering: false][BW: 113.29][Avg BW: 25.13][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 00:31:21.550164 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1184][ft: SMIL] [curTime: 3671.24][curIndex: 0 of 2][Buffer: 39.5 of 20][isBuffering: false][BW: 104.73][Avg BW: 28.51][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 00:31:22.134484 | PORT:: 17093
TICKET:: eiC8uy3Nzr | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.45][Pt: 1184][ft: SMIL] [curTime: 3671.77][curIndex: 0 of 2][Buffer: 43.451 of 20][isBuffering: false][BW: 104.73][Avg BW: 28.51][Peak BW: 474.23] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 18 > 10 | DATE:: 2011-12-07 00:31:22.700409 | PORT:: 17093
