TICKET:: wPq3pP6fEe | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 2176][ft: SMIL] [curTime: 935.83][curIndex: 0 of 2][Buffer: 407.255 of 20][isBuffering: false][BW: 1003.05][Avg BW: 1167.87][Peak BW: 4357.62 : Estimated RAW Max Bytes Per Second: 378731.5634218289] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 118 > 24 | DATE:: 2011-12-07 20:45:45.179194 | PORT:: 17094
TICKET:: mNH9DaYdoK | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 2002][ft: SMIL] [curTime: 936.39][curIndex: 0 of 2][Buffer: 36.414 of 20][isBuffering: false][BW: 1166.01][Avg BW: 1086.63][Peak BW: 4630.56 : Estimated RAW Max Bytes Per Second: 442875.37091988133] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 85 > 24 | DATE:: 2011-12-07 20:45:45.195611 | PORT:: 17094
TICKET:: gLmE2XjuZe | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 567][ft: SMIL] [curTime: 917.08][curIndex: 0 of 2][Buffer: 40.292 of 20][isBuffering: false][BW: 1522.23][Avg BW: 799.00][Peak BW: 4179.92 : Estimated RAW Max Bytes Per Second: 448951.6129032258] Displaying message - Your BW is Low: 799.00 | DATE:: 2011-12-07 20:45:45.304233 | PORT:: 17094
TICKET:: gLmE2XjuZe | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 567][ft: SMIL] [curTime: 917.08][curIndex: 0 of 2][Buffer: 40.292 of 20][isBuffering: false][BW: 1522.23][Avg BW: 814.08][Peak BW: 4179.92 : Estimated RAW Max Bytes Per Second: 684409.4827586206] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 32 > 24 | DATE:: 2011-12-07 20:45:45.304914 | PORT:: 17094
TICKET:: schfar8bIQ | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 230][ft: SMIL] [curTime: 905.75][curIndex: 0 of 2][Buffer: 34.12 of 20][isBuffering: false][BW: 1144.50][Avg BW: 920.79][Peak BW: 1619.55 : Estimated RAW Max Bytes Per Second: 266383.4951456311] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 226 > 24 | DATE:: 2011-12-07 20:45:45.321743 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 4296][ft: SMIL] [curTime: 939.32][curIndex: 0 of 2][Buffer: 36.542 of 20][isBuffering: false][BW: 338.85][Avg BW: 717.36][Peak BW: 4359.95 : Estimated RAW Max Bytes Per Second: 446509.74025974027] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 20:45:45.325654 | PORT:: 17094
TICKET:: 3Fkqzr9gGU | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 129][ft: SMIL] [curTime: 898.24][curIndex: 0 of 2][Buffer: 23.455 of 20][isBuffering: false][BW: 1218.88][Avg BW: 1063.34][Peak BW: 1896.57 : Estimated RAW Max Bytes Per Second: 495289.7196261682] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 26 > 24 | DATE:: 2011-12-07 20:45:45.412698 | PORT:: 17094
TICKET:: MmXXhbTJic | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 328][ft: SMIL] [curTime: 908.62][curIndex: 0 of 2][Buffer: 28.583 of 20][isBuffering: false][BW: 1235.65][Avg BW: 913.67][Peak BW: 3170.94 : Estimated RAW Max Bytes Per Second: 453512.3966942149] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 60 > 24 | DATE:: 2011-12-07 20:45:45.428562 | PORT:: 17094
TICKET:: QX79PHQMUW | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1456][ft: SMIL] [curTime: 931.21][curIndex: 0 of 2][Buffer: 38.125 of 20][isBuffering: false][BW: 1213.05][Avg BW: 921.17][Peak BW: 4159.86 : Estimated RAW Max Bytes Per Second: 434932.7731092437] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 28 > 24 | DATE:: 2011-12-07 20:45:45.471939 | PORT:: 17094
TICKET:: sjGV433JHd | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 257][ft: SMIL] [curTime: 904.18][curIndex: 0 of 2][Buffer: 43.671 of 20][isBuffering: false][BW: 827.63][Avg BW: 727.98][Peak BW: 1688.23 : Estimated RAW Max Bytes Per Second: 426778.0429594272] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 58 > 24 | DATE:: 2011-12-07 20:45:45.511194 | PORT:: 17094
TICKET:: 9RuVhpfayq | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 70][ft: SMIL] [curTime: 898.08][curIndex: 0 of 2][Buffer: 37.75 of 20][isBuffering: false][BW: 1331.33][Avg BW: 1290.63][Peak BW: 1523.12 : Estimated RAW Max Bytes Per Second: 520968.25396825396] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 51 > 24 | DATE:: 2011-12-07 20:45:45.569134 | PORT:: 17094
