TICKET:: C8hVh7cx3y | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 276][ft: SMIL] [curTime: 1180.27][curIndex: 0 of 2][Buffer: 40.589 of 20][isBuffering: false][BW: 1112.23][Avg BW: 999.39][Peak BW: 1578.37 : Estimated RAW Max Bytes Per Second: 459245.1612903226] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 240 > 24 | DATE:: 2011-12-07 20:50:27.764006 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 5582][ft: SMIL] [curTime: 1221.86][curIndex: 0 of 2][Buffer: 37.008 of 20][isBuffering: false][BW: 1031.93][Avg BW: 688.25][Peak BW: 4359.95 : Estimated RAW Max Bytes Per Second: 468393.6170212766] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 20:50:27.880070 | PORT:: 17094
TICKET:: LLycLyiiiN | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 295][ft: SMIL] [curTime: 1181.13][curIndex: 0 of 2][Buffer: 37.083 of 20][isBuffering: false][BW: 700.27][Avg BW: 962.54][Peak BW: 1639.52 : Estimated RAW Max Bytes Per Second: 407441.92634560907] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 353 > 24 | DATE:: 2011-12-07 20:50:27.990174 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 6][ft: SMIL] [curTime: 0.00][curIndex: 0 of 2][Buffer: 74.666 of 20][isBuffering: false][BW: 709.14][Avg BW: 0.00][Peak BW: 0.00 : Estimated RAW Max Bytes Per Second: 2114950] [videoView][DEBUG] onDurationChange:  durationChange duration 5613.169 | DATE:: 2011-12-07 20:50:28.188256 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 7][ft: SMIL] [curTime: 9.00][curIndex: 0 of 2][Buffer: 0.042 of 20][isBuffering: false][BW: 709.14][Avg BW: 0.00][Peak BW: 0.00 : Estimated RAW Max Bytes Per Second: 2114950] [videoView][DEBUG]onSeekingChange: seekingChange seek Event to 1158 | DATE:: 2011-12-07 20:50:28.189520 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 6][ft: SMIL] [curTime: 9.00][curIndex: 0 of 2][Buffer: 65.666 of 20][isBuffering: false][BW: 709.14][Avg BW: 0.00][Peak BW: 0.00 : Estimated RAW Max Bytes Per Second: 2114950] Log Status Timer | DATE:: 2011-12-07 20:50:28.190165 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 7][ft: SMIL] [curTime: 9.00][curIndex: 0 of 2][Buffer: 65.666 of 20][isBuffering: false][BW: 709.14][Avg BW: 0.00][Peak BW: 0.00 : Estimated RAW Max Bytes Per Second: 2114950] [videoView][DEBUG]initial seek: true   seeking to: 1158   allowedSeek true media canSeek:true duration: 5613.169 | DATE:: 2011-12-07 20:50:28.190855 | PORT:: 17094
TICKET:: QmCXcIwBcw | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 7][ft: SMIL] [curTime: 9.00][curIndex: 0 of 2][Buffer: 0.042 of 20][isBuffering: false][BW: 709.14][Avg BW: 0.00][Peak BW: 0.00 : Estimated RAW Max Bytes Per Second: 2114950] [videoView][DEBUG]Change in STATE:buffering  MP canPlay true canSeek true seekInto point 1158 | DATE:: 2011-12-07 20:50:28.200722 | PORT:: 17094
TICKET:: C8hVh7cx3y | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 279][ft: SMIL] [curTime: 1180.78][curIndex: 0 of 2][Buffer: 42.992 of 20][isBuffering: false][BW: 1166.36][Avg BW: 992.07][Peak BW: 1578.37 : Estimated RAW Max Bytes Per Second: 397058.5106382979] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 256 > 24 | DATE:: 2011-12-07 20:50:28.273482 | PORT:: 17094
TICKET:: DsJBUBGFom | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 5141][ft: SMIL] [curTime: 1224.17][curIndex: 0 of 2][Buffer: 23.057 of 20][isBuffering: false][BW: 3175.01][Avg BW: 563.98][Peak BW: 4692.51 : Estimated RAW Max Bytes Per Second: 422220.5746061168] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] executeSwitch() - Switching to index 0 at 1000 kbps | DATE:: 2011-12-07 20:50:28.302117 | PORT:: 17094
TICKET:: DsJBUBGFom | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 5141][ft: SMIL] [curTime: 1224.17][curIndex: 0 of 2][Buffer: 23.057 of 20][isBuffering: false][BW: 3175.01][Avg BW: 563.98][Peak BW: 4692.51 : Estimated RAW Max Bytes Per Second: 422220.5746061168] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] checkRules() - Calling for switch to 0 at 1000 kbps | DATE:: 2011-12-07 20:50:28.308693 | PORT:: 17094
