TICKET:: Rna33p8QhV | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 1307][ft: SMIL] [curTime: 2431.41][curIndex: 0 of 2][Buffer: 25.276 of 20][isBuffering: false][BW: 1373.55][Avg BW: 1101.86][Peak BW: 3556.66 : Estimated RAW Max Bytes Per Second: 463590.55118110235] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 47 > 24 | DATE:: 2011-12-07 21:10:40.715179 | PORT:: 17094
TICKET:: phSHRQDBBU | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 557][ft: SMIL] [curTime: 2375.54][curIndex: 0 of 2][Buffer: 1458.264 of 20][isBuffering: false][BW: 1314.51][Avg BW: 1064.37][Peak BW: 1613.57 : Estimated RAW Max Bytes Per Second: 542764.5161290322] Displaying message - Your BW is Low: 1064.37 | DATE:: 2011-12-07 21:10:40.745518 | PORT:: 17094
TICKET:: phSHRQDBBU | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 556][ft: SMIL] [curTime: 2375.54][curIndex: 0 of 2][Buffer: 1458.264 of 20][isBuffering: false][BW: 1314.51][Avg BW: 1064.37][Peak BW: 1613.57 : Estimated RAW Max Bytes Per Second: 542764.5161290322] Log Status Timer | DATE:: 2011-12-07 21:10:40.752599 | PORT:: 17094
TICKET:: phSHRQDBBU | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 557][ft: SMIL] [curTime: 2375.54][curIndex: 0 of 2][Buffer: 1458.264 of 20][isBuffering: false][BW: 1314.51][Avg BW: 1084.39][Peak BW: 1613.57 : Estimated RAW Max Bytes Per Second: 414700] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 926 > 24 | DATE:: 2011-12-07 21:10:40.753864 | PORT:: 17094
TICKET:: 7KXgHeG88U | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 240][ft: SMIL] [curTime: 2410.53][curIndex: 0 of 2][Buffer: 25.958 of 20][isBuffering: false][BW: 971.24][Avg BW: 738.38][Peak BW: 1977.58 : Estimated RAW Max Bytes Per Second: 488214.85411140585] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 56 > 24 | DATE:: 2011-12-07 21:10:40.784981 | PORT:: 17094
TICKET:: phSHRQDBBU | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 557][ft: SMIL] [curTime: 2375.54][curIndex: 0 of 2][Buffer: 1458.264 of 20][isBuffering: false][BW: 1314.51][Avg BW: 1064.37][Peak BW: 1613.57 : Estimated RAW Max Bytes Per Second: 542764.5161290322] [videoView][DEBUG]Detected FPS <1 FPS zero count 18 currentFPS: 0.08 | DATE:: 2011-12-07 21:10:40.865840 | PORT:: 17094
TICKET:: k7kiDQcsnX | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 629][ft: SMIL] [curTime: 2425.13][curIndex: 0 of 2][Buffer: 43.041 of 20][isBuffering: false][BW: 94.69][Avg BW: 951.11][Peak BW: 3576.58 : Estimated RAW Max Bytes Per Second: 465549.8652291105] Log Status Timer | DATE:: 2011-12-07 21:10:40.932039 | PORT:: 17094
TICKET:: k7kiDQcsnX | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 630][ft: SMIL] [curTime: 2425.13][curIndex: 0 of 2][Buffer: 43.041 of 20][isBuffering: false][BW: 94.69][Avg BW: 951.11][Peak BW: 3576.58 : Estimated RAW Max Bytes Per Second: 465549.8652291105] Displaying message - Your BW is Low: 951.11 | DATE:: 2011-12-07 21:10:40.932712 | PORT:: 17094
TICKET:: k7kiDQcsnX | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 630][ft: SMIL] [curTime: 2425.13][curIndex: 0 of 2][Buffer: 43.041 of 20][isBuffering: false][BW: 960.66][Avg BW: 937.61][Peak BW: 3576.58 : Estimated RAW Max Bytes Per Second: 401843.137254902] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 52 > 24 | DATE:: 2011-12-07 21:10:40.941603 | PORT:: 17094
TICKET:: uxv2Y9mksB | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 833][ft: SMIL] [curTime: 2415.75][curIndex: 0 of 2][Buffer: 444.755 of 20][isBuffering: false][BW: 1422.03][Avg BW: 959.79][Peak BW: 3085.10 : Estimated RAW Max Bytes Per Second: 509859.94397759106] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 197 > 24 | DATE:: 2011-12-07 21:10:40.957868 | PORT:: 17094
TICKET:: PmNgcEo6Lc | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 880][ft: SMIL] [curTime: 2421.96][curIndex: 0 of 2][Buffer: 42.542 of 20][isBuffering: false][BW: 575.13][Avg BW: 1037.15][Peak BW: 3721.37 : Estimated RAW Max Bytes Per Second: 417075.8620689655] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 37 > 24 | DATE:: 2011-12-07 21:10:40.975991 | PORT:: 17094
