TICKET:: jvwWiTNiPA | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 490][ft: SMIL] [curTime: 2693.70][curIndex: 0 of 2][Buffer: 38.573 of 20][isBuffering: false][BW: 1731.13][Avg BW: 1119.99][Peak BW: 1731.13 : Estimated RAW Max Bytes Per Second: 418083.0188679245] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 189 > 24 | DATE:: 2011-12-07 21:15:28.084265 | PORT:: 17094
TICKET:: jvwWiTNiPA | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 485][ft: SMIL] [curTime: 2692.77][curIndex: 0 of 2][Buffer: 36.16 of 20][isBuffering: false][BW: 1495.94][Avg BW: 1062.83][Peak BW: 1638.29 : Estimated RAW Max Bytes Per Second: 425511.1111111111] Displaying message - Your BW is Low: 1062.83 | DATE:: 2011-12-07 21:15:28.097952 | PORT:: 17094
TICKET:: jvwWiTNiPA | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 488][ft: SMIL] [curTime: 2693.28][curIndex: 0 of 2][Buffer: 37.425 of 20][isBuffering: false][BW: 1630.57][Avg BW: 1098.31][Peak BW: 1638.29 : Estimated RAW Max Bytes Per Second: 381559.4149908592] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 228 > 24 | DATE:: 2011-12-07 21:15:28.109280 | PORT:: 17094
TICKET:: jvwWiTNiPA | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 485][ft: SMIL] [curTime: 2692.77][curIndex: 0 of 2][Buffer: 36.16 of 20][isBuffering: false][BW: 1586.66][Avg BW: 1079.86][Peak BW: 1638.29 : Estimated RAW Max Bytes Per Second: 428464.135021097] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 257 > 24 | DATE:: 2011-12-07 21:15:28.109982 | PORT:: 17094
TICKET:: T42pKQHYbk | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 260][ft: SMIL] [curTime: 2677.52][curIndex: 0 of 2][Buffer: 43.994 of 20][isBuffering: false][BW: 1052.10][Avg BW: 846.97][Peak BW: 4332.70 : Estimated RAW Max Bytes Per Second: 481468.6567164179] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 247 > 24 | DATE:: 2011-12-07 21:15:28.214442 | PORT:: 17094
TICKET:: jvwWiTNiPA | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 491][ft: SMIL] [curTime: 2693.92][curIndex: 0 of 2][Buffer: 40.586 of 20][isBuffering: false][BW: 1124.82][Avg BW: 1122.12][Peak BW: 1731.13 : Estimated RAW Max Bytes Per Second: 403296.918767507] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 184 > 24 | DATE:: 2011-12-07 21:15:28.243878 | PORT:: 17094
TICKET:: Lh7tRrLXsv | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 64][ft: SMIL] [curTime: 2661.00][curIndex: 0 of 2][Buffer: 41.833 of 20][isBuffering: false][BW: 678.42][Avg BW: 843.31][Peak BW: 1338.91 : Estimated RAW Max Bytes Per Second: 552944.6640316206] Log Status Timer | DATE:: 2011-12-07 21:15:28.279266 | PORT:: 17094
TICKET:: Lh7tRrLXsv | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 65][ft: SMIL] [curTime: 2661.00][curIndex: 0 of 2][Buffer: 41.833 of 20][isBuffering: false][BW: 1017.24][Avg BW: 848.92][Peak BW: 1338.91 : Estimated RAW Max Bytes Per Second: 423275.8620689655] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 167 > 24 | DATE:: 2011-12-07 21:15:28.282452 | PORT:: 17094
TICKET:: Lh7tRrLXsv | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 65][ft: SMIL] [curTime: 2661.00][curIndex: 0 of 2][Buffer: 41.833 of 20][isBuffering: false][BW: 678.42][Avg BW: 843.31][Peak BW: 1338.91 : Estimated RAW Max Bytes Per Second: 552944.6640316206] Displaying message - Your BW is Low: 843.31 | DATE:: 2011-12-07 21:15:28.283377 | PORT:: 17094
TICKET:: tuknNDQXc3 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 646][ft: SMIL] [curTime: 2703.08][curIndex: 0 of 2][Buffer: 507.449 of 20][isBuffering: false][BW: 1296.31][Avg BW: 1268.58][Peak BW: 4074.94 : Estimated RAW Max Bytes Per Second: 1086119.4029850746] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 640 > 24 | DATE:: 2011-12-07 21:15:28.330971 | PORT:: 17094
TICKET:: vschv5vCQq | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 200][ft: SMIL] [curTime: 2700.74][curIndex: 0 of 2][Buffer: 41.163 of 20][isBuffering: false][BW: 747.49][Avg BW: 915.01][Peak BW: 1717.98 : Estimated RAW Max Bytes Per Second: 475493.9393939394] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 104 > 24 | DATE:: 2011-12-07 21:15:28.371527 | PORT:: 17094
TICKET:: b8VqNBgMq6 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 39][ft: SMIL] [curTime: 2671.08][curIndex: 0 of 2][Buffer: 23.042 of 20][isBuffering: false][BW: 1052.94][Avg BW: 1125.08][Peak BW: 1588.89 : Estimated RAW Max Bytes Per Second: 432719.1489361702] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 103 > 24 | DATE:: 2011-12-07 21:15:28.562139 | PORT:: 17094
TICKET:: Srfu6b48Lx | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 224][ft: SMIL] [curTime: 2666.29][curIndex: 0 of 2][Buffer: 44.875 of 20][isBuffering: false][BW: 1367.02][Avg BW: 1252.70][Peak BW: 1861.64 : Estimated RAW Max Bytes Per Second: 399587.7192982456] Log Status Timer | DATE:: 2011-12-07 21:15:28.582600 | PORT:: 17094
TICKET:: Srfu6b48Lx | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 225][ft: SMIL] [curTime: 2666.29][curIndex: 0 of 2][Buffer: 44.875 of 20][isBuffering: false][BW: 1367.02][Avg BW: 1253.54][Peak BW: 1861.64 : Estimated RAW Max Bytes Per Second: 453328.67132867133] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 316 > 24 | DATE:: 2011-12-07 21:15:28.586088 | PORT:: 17094
TICKET:: Srfu6b48Lx | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 225][ft: SMIL] [curTime: 2666.29][curIndex: 0 of 2][Buffer: 44.875 of 20][isBuffering: false][BW: 1367.02][Avg BW: 1252.70][Peak BW: 1861.64 : Estimated RAW Max Bytes Per Second: 399587.7192982456] Displaying message - Your BW is Low: 1252.70 | DATE:: 2011-12-07 21:15:28.588543 | PORT:: 17094
TICKET:: W7BU8FN8Sc | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 836][ft: SMIL] [curTime: 2708.71][curIndex: 0 of 2][Buffer: 739.091 of 20][isBuffering: false][BW: 1074.81][Avg BW: 966.77][Peak BW: 4128.78 : Estimated RAW Max Bytes Per Second: 371443.3962264151] [videoView][DEBUG]Detected FPS <1 FPS zero count 2 currentFPS: 0.18 | DATE:: 2011-12-07 21:15:28.633975 | PORT:: 17094
TICKET:: tuknNDQXc3 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 638][ft: SMIL] [curTime: 2700.79][curIndex: 0 of 2][Buffer: 507.449 of 20][isBuffering: false][BW: 1296.31][Avg BW: 1324.93][Peak BW: 4074.94 : Estimated RAW Max Bytes Per Second: 1086119.4029850746] [videoView][DEBUG]Detected FPS <1 FPS zero count 1 currentFPS: 0.57 | DATE:: 2011-12-07 21:15:28.646036 | PORT:: 17094
TICKET:: W7BU8FN8Sc | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 834][ft: SMIL] [curTime: 2708.21][curIndex: 0 of 2][Buffer: 739.091 of 20][isBuffering: false][BW: 1074.81][Avg BW: 966.77][Peak BW: 4128.78 : Estimated RAW Max Bytes Per Second: 371443.3962264151] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 339 > 24 | DATE:: 2011-12-07 21:15:28.647139 | PORT:: 17094
TICKET:: W7BU8FN8Sc | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 834][ft: SMIL] [curTime: 2708.21][curIndex: 0 of 2][Buffer: 739.091 of 20][isBuffering: false][BW: 1074.81][Avg BW: 977.59][Peak BW: 4128.78 : Estimated RAW Max Bytes Per Second: 482722.8070175439] Displaying message - Your BW is Low: 977.59 | DATE:: 2011-12-07 21:15:28.647804 | PORT:: 17094
TICKET:: tuknNDQXc3 | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 637][ft: SMIL] [curTime: 2700.58][curIndex: 0 of 2][Buffer: 507.449 of 20][isBuffering: false][BW: 1296.31][Avg BW: 1339.01][Peak BW: 4074.94 : Estimated RAW Max Bytes Per Second: 214700.17035775128] Displaying message - Your BW is Low: 1339.01 | DATE:: 2011-12-07 21:15:28.671484 | PORT:: 17094
TICKET:: W7BU8FN8Sc | MESSAGE:: [FP: LNX 10,3,183,7][ver: 0.2.48][Pt: 836][ft: SMIL] [curTime: 2708.75][curIndex: 0 of 2][Buffer: 739.091 of 20][isBuffering: false][BW: 1074.81][Avg BW: 955.94][Peak BW: 4128.78 : Estimated RAW Max Bytes Per Second: 371443.3962264151] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 309 > 24 | DATE:: 2011-12-07 21:15:28.672264 | PORT:: 17094
