TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15691][ft: SMIL] [curTime: 3300.79][curIndex: 1 of 2][Buffer: 25.217 of 20][isBuffering: false][BW: 2524.73][Avg BW: 358.46][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 434946.1641991925] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] checkRules() - Calling for switch to 0 at 1000 kbps | DATE:: 2011-12-07 21:25:08.412150 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15691][ft: SMIL] [curTime: 3300.79][curIndex: 1 of 2][Buffer: 25.217 of 20][isBuffering: false][BW: 2524.73][Avg BW: 358.46][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 434946.1641991925] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] executeSwitch() - Switching to index 0 at 1000 kbps | DATE:: 2011-12-07 21:25:08.434022 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15692][ft: SMIL] [curTime: 3301.00][curIndex: 1 of 2][Buffer: 26.029 of 20][isBuffering: false][BW: 2524.73][Avg BW: 358.46][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 434946.1641991925] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-12-07 21:25:08.434933 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15692][ft: SMIL] [curTime: 3301.00][curIndex: 1 of 2][Buffer: 26.029 of 20][isBuffering: false][BW: 2524.73][Avg BW: 358.46][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 434946.1641991925] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Play.Transition | DATE:: 2011-12-07 21:25:08.441519 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15692][ft: SMIL] [curTime: 3301.00][curIndex: 1 of 2][Buffer: 26.029 of 20][isBuffering: false][BW: 2524.73][Avg BW: 358.46][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 434946.1641991925] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Play.Transition | DATE:: 2011-12-07 21:25:08.477244 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15694][ft: SMIL] [curTime: 3301.29][curIndex: 1 of 2][Buffer: 26.946 of 20][isBuffering: false][BW: 1130.49][Avg BW: 380.20][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 411088.0681818182] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] checkRules() - Calling for switch to 1 at 1500 kbps | DATE:: 2011-12-07 21:25:08.491920 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15696][ft: SMIL] [curTime: 3301.79][curIndex: 1 of 2][Buffer: 29.162 of 20][isBuffering: false][BW: 1389.38][Avg BW: 410.29][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 418447.0588235294] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-12-07 21:25:08.495959 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15694][ft: SMIL] [curTime: 3301.29][curIndex: 1 of 2][Buffer: 26.946 of 20][isBuffering: false][BW: 1130.49][Avg BW: 380.20][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 411088.0681818182] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] executeSwitch() - Switching to index 1 at 1500 kbps | DATE:: 2011-12-07 21:25:08.526779 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15696][ft: SMIL] [curTime: 3301.79][curIndex: 1 of 2][Buffer: 29.162 of 20][isBuffering: false][BW: 1389.38][Avg BW: 410.29][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 418447.0588235294] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Play.Transition | DATE:: 2011-12-07 21:25:08.542709 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15696][ft: SMIL] [curTime: 3301.79][curIndex: 1 of 2][Buffer: 29.162 of 20][isBuffering: false][BW: 1389.38][Avg BW: 410.29][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 418447.0588235294] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Play.Transition | DATE:: 2011-12-07 21:25:08.552963 | PORT:: 17094
TICKET:: m2PvmQXx5t | MESSAGE:: [FP: MAC 11,1,102,55][ver: 0.2.48][Pt: 15709][ft: SMIL] [curTime: 3304.42][curIndex: 1 of 2][Buffer: 30.557 of 20][isBuffering: false][BW: 3081.66][Avg BW: 819.78][Peak BW: 4839.52 : Estimated RAW Max Bytes Per Second: 417785.91549295775] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 7 failure(s) and only 3.622 seconds have passed since the last failure. | DATE:: 2011-12-07 21:25:10.972499 | PORT:: 17094
