TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23111][ft: SMIL] [curTime: 5096.06][curIndex: 0 of 2][Buffer: 27.042 of 20][isBuffering: false][BW: 225.24][Avg BW: 341.86][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 438836.36363636365] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 21:55:02.961309 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23114][ft: SMIL] [curTime: 5096.62][curIndex: 0 of 2][Buffer: 26.5 of 20][isBuffering: false][BW: 225.24][Avg BW: 314.08][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 438836.36363636365] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 21:55:02.977712 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23116][ft: SMIL] [curTime: 5097.22][curIndex: 0 of 2][Buffer: 25.917 of 20][isBuffering: false][BW: 225.24][Avg BW: 289.32][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 438836.36363636365] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:55:03.313864 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23119][ft: SMIL] [curTime: 5097.78][curIndex: 0 of 2][Buffer: 25.334 of 20][isBuffering: false][BW: 225.24][Avg BW: 260.08][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 438836.36363636365] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:55:03.865633 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23121][ft: SMIL] [curTime: 5098.34][curIndex: 0 of 2][Buffer: 24.792 of 20][isBuffering: false][BW: 225.24][Avg BW: 232.92][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 438836.36363636365] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:04.430050 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23124][ft: SMIL] [curTime: 5098.85][curIndex: 0 of 2][Buffer: 24.25 of 20][isBuffering: false][BW: 225.24][Avg BW: 217.97][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 438836.36363636365] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:04.975031 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23126][ft: SMIL] [curTime: 5099.40][curIndex: 0 of 2][Buffer: 23.709 of 20][isBuffering: false][BW: 225.24][Avg BW: 217.97][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 438836.36363636365] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:05.514527 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23129][ft: SMIL] [curTime: 5099.96][curIndex: 0 of 2][Buffer: 23.167 of 20][isBuffering: false][BW: 225.24][Avg BW: 217.97][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 438836.36363636365] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:06.064627 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23131][ft: SMIL] [curTime: 5100.52][curIndex: 0 of 2][Buffer: 22.584 of 20][isBuffering: false][BW: 225.24][Avg BW: 217.97][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 438836.36363636365] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:06.613769 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23132][ft: SMIL] [curTime: 5100.89][curIndex: 0 of 2][Buffer: 22.209 of 20][isBuffering: false][BW: 225.24][Avg BW: 217.97][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 438836.36363636365] Log Status Timer | DATE:: 2011-12-07 21:55:07.012271 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23134][ft: SMIL] [curTime: 5101.12][curIndex: 0 of 2][Buffer: 22 of 20][isBuffering: false][BW: 225.24][Avg BW: 217.97][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 438836.36363636365] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:07.218584 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23136][ft: SMIL] [curTime: 5101.68][curIndex: 0 of 2][Buffer: 24.598 of 20][isBuffering: false][BW: 1094.97][Avg BW: 246.03][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 528890.5660377359] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:07.815941 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23138][ft: SMIL] [curTime: 5102.24][curIndex: 0 of 2][Buffer: 27.07 of 20][isBuffering: false][BW: 1195.86][Avg BW: 277.34][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 437342.85714285716] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:08.355991 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23141][ft: SMIL] [curTime: 5102.79][curIndex: 0 of 2][Buffer: 29.835 of 20][isBuffering: false][BW: 983.49][Avg BW: 301.80][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 415468.64686468645] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:08.932429 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23143][ft: SMIL] [curTime: 5103.31][curIndex: 0 of 2][Buffer: 32.934 of 20][isBuffering: false][BW: 981.83][Avg BW: 326.21][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 489003.8910505837] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 21:55:09.443408 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 23144][ft: SMIL] [curTime: 5104.19][curIndex: 0 of 2][Buffer: 37.307 of 20][isBuffering: false][BW: 963.98][Avg BW: 350.04][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 437549.6453900709] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 21:55:10.310588 | PORT:: 17094
