TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 24236][ft: SMIL] [curTime: 5397.60][curIndex: 0 of 2][Buffer: 41.356 of 20][isBuffering: false][BW: 517.18][Avg BW: 235.34][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 718000] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 14 > 10 | DATE:: 2011-12-07 22:00:03.676447 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 24238][ft: SMIL] [curTime: 5398.15][curIndex: 0 of 2][Buffer: 40.773 of 20][isBuffering: false][BW: 368.66][Avg BW: 242.16][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 718000] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-07 22:00:04.242303 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 24241][ft: SMIL] [curTime: 5398.66][curIndex: 0 of 2][Buffer: 40.273 of 20][isBuffering: false][BW: 368.66][Avg BW: 248.98][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 718000] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 13 > 10 | DATE:: 2011-12-07 22:00:04.780422 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 24243][ft: SMIL] [curTime: 5399.22][curIndex: 0 of 2][Buffer: 39.689 of 20][isBuffering: false][BW: 368.66][Avg BW: 255.80][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 718000] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 14 > 10 | DATE:: 2011-12-07 22:00:05.322687 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 24246][ft: SMIL] [curTime: 5399.78][curIndex: 0 of 2][Buffer: 39.148 of 20][isBuffering: false][BW: 368.66][Avg BW: 262.62][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 718000] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 15 > 10 | DATE:: 2011-12-07 22:00:05.877639 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 24248][ft: SMIL] [curTime: 5400.34][curIndex: 0 of 2][Buffer: 38.606 of 20][isBuffering: false][BW: 368.66][Avg BW: 269.44][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 718000] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 16 > 10 | DATE:: 2011-12-07 22:00:06.422115 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 24251][ft: SMIL] [curTime: 5400.85][curIndex: 0 of 2][Buffer: 38.064 of 20][isBuffering: false][BW: 368.66][Avg BW: 276.26][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 718000] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 22:00:06.971726 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 24253][ft: SMIL] [curTime: 5401.40][curIndex: 0 of 2][Buffer: 37.523 of 20][isBuffering: false][BW: 368.66][Avg BW: 283.08][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 718000] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 22:00:07.516599 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 24256][ft: SMIL] [curTime: 5401.96][curIndex: 0 of 2][Buffer: 36.981 of 20][isBuffering: false][BW: 368.66][Avg BW: 289.90][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 718000] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 22:00:08.056733 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 24258][ft: SMIL] [curTime: 5402.52][curIndex: 0 of 2][Buffer: 36.439 of 20][isBuffering: false][BW: 368.66][Avg BW: 296.72][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 718000] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.DroppedFramesRule] getNewIndex() - about to return: 0, detail=Average droppedFPS of 17 > 10 | DATE:: 2011-12-07 22:00:08.600861 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 24259][ft: SMIL] [curTime: 5402.70][curIndex: 0 of 2][Buffer: 36.231 of 20][isBuffering: false][BW: 368.66][Avg BW: 296.72][Peak BW: 5158.90 : Estimated RAW Max Bytes Per Second: 718000] Log Status Timer | DATE:: 2011-12-07 22:00:08.814588 | PORT:: 17094
