TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 29916][ft: SMIL] [curTime: 1292.46][curIndex: 2 of 2][Buffer: 7.958 of 5][isBuffering: false][BW: 1550.27][Avg BW: 2693.23][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 412739.26868044515] Log Status Timer | DATE:: 2011-12-07 22:25:13.270882 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30036][ft: SMIL] [curTime: 1329.88][curIndex: 2 of 2][Buffer: 0.333 of 5][isBuffering: false][BW: 327.12][Avg BW: 1653.10][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 549113.2300357568] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Buffer.Empty | DATE:: 2011-12-07 22:25:51.051226 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30036][ft: SMIL] [curTime: 1329.88][curIndex: 2 of 2][Buffer: 0.333 of 5][isBuffering: false][BW: 327.12][Avg BW: 1653.10][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 549113.2300357568] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Buffer.Empty | DATE:: 2011-12-07 22:25:51.091730 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30036][ft: SMIL] [curTime: 1329.88][curIndex: 2 of 2][Buffer: 0.333 of 5][isBuffering: false][BW: 327.12][Avg BW: 1653.10][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 549113.2300357568] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Buffer.Empty | DATE:: 2011-12-07 22:25:51.093003 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30036][ft: SMIL] [curTime: 1329.88][curIndex: 2 of 2][Buffer: 0.333 of 5][isBuffering: false][BW: 327.12][Avg BW: 1653.10][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 549113.2300357568] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: buffer empty, netConnection.connected=true | DATE:: 2011-12-07 22:25:51.093697 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30036][ft: SMIL] [curTime: 1329.88][curIndex: 2 of 2][Buffer: 0.333 of 5][isBuffering: true][BW: 327.12][Avg BW: 1653.10][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 549113.2300357568] [videoView][DEBUG]FROM TRAIT BUFFERING CHANGE isBuffering : true time 5 | DATE:: 2011-12-07 22:25:51.094703 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30037][ft: SMIL] [curTime: 1330.27][curIndex: 2 of 2][Buffer: 0.333 of 5][isBuffering: true][BW: 327.12][Avg BW: 1531.07][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 549113.2300357568] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.InsufficientBufferRule] getNewIndex() - about to return: 0, detail=Buffer was empty | DATE:: 2011-12-07 22:25:51.172826 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30037][ft: SMIL] [curTime: 1330.27][curIndex: 2 of 2][Buffer: 0.333 of 5][isBuffering: true][BW: 327.12][Avg BW: 1531.07][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 549113.2300357568] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] checkRules() - Calling for switch to 0 at 1000 kbps | DATE:: 2011-12-07 22:25:51.173680 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30037][ft: SMIL] [curTime: 1330.27][curIndex: 2 of 2][Buffer: 0.333 of 5][isBuffering: true][BW: 327.12][Avg BW: 1531.07][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 549113.2300357568] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] executeSwitch() - Switching to index 0 at 1000 kbps | DATE:: 2011-12-07 22:25:51.174340 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30045][ft: SMIL] [curTime: 1330.27][curIndex: 2 of 2][Buffer: 4.25 of 5][isBuffering: true][BW: 4789.70][Avg BW: 1579.43][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 791073.5483870967] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Play.Transition | DATE:: 2011-12-07 22:25:53.415504 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30045][ft: SMIL] [curTime: 1330.27][curIndex: 2 of 2][Buffer: 4.25 of 5][isBuffering: true][BW: 4789.70][Avg BW: 1579.43][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 791073.5483870967] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Play.Transition | DATE:: 2011-12-07 22:25:53.468474 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30045][ft: SMIL] [curTime: 1330.27][curIndex: 2 of 2][Buffer: 4.25 of 5][isBuffering: true][BW: 4789.70][Avg BW: 1579.43][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 791073.5483870967] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Play.Transition | DATE:: 2011-12-07 22:25:53.469635 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30045][ft: SMIL] [curTime: 1330.33][curIndex: 2 of 2][Buffer: 4.623 of 5][isBuffering: true][BW: 2471.66][Avg BW: 1555.21][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 455211.5107913669] [OSMF] [INFO] [org.osmf.net.rtmpstreaming.InsufficientBufferRule] getNewIndex() - about to return: 0, detail=Buffer was empty | DATE:: 2011-12-07 22:25:53.470305 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30045][ft: SMIL] [curTime: 1330.33][curIndex: 2 of 2][Buffer: 5.144 of 5][isBuffering: true][BW: 2471.66][Avg BW: 1555.21][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 455211.5107913669] [OSMF] [INFO] [org.osmf.net.NetStreamLoadTrait] NetStream.Buffer.Full | DATE:: 2011-12-07 22:25:53.532782 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30045][ft: SMIL] [curTime: 1330.33][curIndex: 2 of 2][Buffer: 5.144 of 5][isBuffering: true][BW: 2471.66][Avg BW: 1555.21][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 455211.5107913669] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] onNetStatus() - event.info.code=NetStream.Buffer.Full | DATE:: 2011-12-07 22:25:53.539783 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30045][ft: SMIL] [curTime: 1330.33][curIndex: 2 of 2][Buffer: 5.144 of 5][isBuffering: true][BW: 2471.66][Avg BW: 1555.21][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 455211.5107913669] [OSMF] [INFO] [org.osmf.net.NetLoader] Stream reconnect: onNetStatus: NetStream.Buffer.Full | DATE:: 2011-12-07 22:25:53.540790 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30045][ft: SMIL] [curTime: 1330.33][curIndex: 2 of 2][Buffer: 5.144 of 5][isBuffering: false][BW: 2471.66][Avg BW: 1555.21][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 455211.5107913669] [videoView][DEBUG]FROM TRAIT BUFFERING CHANGE isBuffering : false time 5 | DATE:: 2011-12-07 22:25:53.541726 | PORT:: 17094
TICKET:: x6R7L7u9qw | MESSAGE:: [FP: WIN 11,1,102,55][ver: 0.2.48][Pt: 30047][ft: SMIL] [curTime: 1330.71][curIndex: 2 of 2][Buffer: 7 of 5][isBuffering: false][BW: 943.16][Avg BW: 1480.63][Peak BW: 5637.33 : Estimated RAW Max Bytes Per Second: 425084.5070422535] [OSMF] [INFO] [org.osmf.net.NetStreamSwitchManager] canAutoSwitchNow() - ignoring switch request because index has 3 failure(s) and only 2.869 seconds have passed since the last failure. | DATE:: 2011-12-07 22:25:53.912039 | PORT:: 17094
