Initialized at 2012-07-15 11:29:09.000000
USER:: 4125 | MESSAGE:: TOKEN Read Coookie:: 5s5rEcee38| DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: TOKEN CODE:: 5s5rEcee38| DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: TOKEN AUTHENTICATED| DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: TOKEN HASH:: b63394314c8ab05aad986f8cb490a717| DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: TOKEN EXPIRES:: 1342366149| DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: TOKEN CODE:: wPrDUuKjRS| DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP ADDRESS - 192.168.2.106| DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP DB INFO - GEO-106FREE 20090201 Build 1 Copyright (c) 2007 MaxMind LLC All Rights Reserved| DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP FILTERS FOR FILM - | DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP CONTINENT - | DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP COUNTRY - | DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP CITY - | DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 4125 | MESSAGE:: GEOIP ADDRESS - 192.168.2.106| DATE:: 2012-07-15 11:29:09.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: TOKEN Read Coookie:: IKymMebxFs| DATE:: 2012-07-15 11:29:10.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: TOKEN CODE:: IKymMebxFs| DATE:: 2012-07-15 11:29:10.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: TOKEN AUTHENTICATED| DATE:: 2012-07-15 11:29:10.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: TOKEN HASH:: b2bf181144c26c9d48d17a52634ff053| DATE:: 2012-07-15 11:29:10.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: TOKEN EXPIRES:: 1342366150| DATE:: 2012-07-15 11:29:10.000000| SERVER:: dev.constellation.tv
USER:: 124 | MESSAGE:: TOKEN CODE:: 7QzQB4w9Fn| DATE:: 2012-07-15 11:29:10.000000| SERVER:: dev.constellation.tv
